id,webpage,fingerprint
1934,videodownloadconverter.com,E3:DA:9B:4E:4C:9A:02:55:CA:81:C1:0D:83:A5:42:AC:D3:3C:CE:7A:A6:92:74:C4:EA:84:0B:22:A8:49:F9:D4
1960,ucoz.ru,48:15:25:F4:02:EA:B7:C5:82:FC:7F:AB:E9:13:63:13:5B:F4:40:FD:BC:04:AA:38:1A:62:60:4A:09:FC:B7:23
1985,softbank.jp,C6:B0:CD:85:32:9F:01:1E:98:48:6E:97:D6:68:9F:87:EB:80:40:E3:CF:A8:2D:CF:E5:26:2A:E8:09:37:8B:C7
1989,zeit.de,E5:9F:62:EB:8A:FB:18:79:B8:07:56:C3:9F:AD:88:C9:BB:2F:72:AF:AE:60:52:2E:EB:43:65:43:DA:C9:CC:EC
1990,bizjournals.com,3E:FC:CC:57:98:A9:2A:A9:E3:70:D6:EE:35:67:CC:D5:D8:05:6E:98:FE:4A:55:48:A7:93:B2:78:6B:D9:C4:D1
2028,rougeframboise.com,29:ED:D7:8C:08:C9:65:E0:76:18:61:30:96:65:BD:59:D4:C0:97:2C:0A:00:88:67:D3:A3:CB:EA:61:97:84:BE
2048,city-data.com,D5:74:32:3C:32:6B:4C:97:2E:0B:8D:60:78:18:9B:C2:33:DF:A2:D4:86:AA:BB:97:F8:D7:82:ED:4C:44:23:83
2051,suruga-ya.jp,83:65:1E:47:C8:98:CC:8A:9D:B0:98:36:D2:52:F0:DA:23:D3:B0:D9:BB:41:73:F8:DF:14:23:32:BA:A0:27:E7
2057,snopes.com,BF:3B:A4:FE:E1:70:00:DC:2D:00:65:21:5A:82:DD:32:98:73:13:2E:38:48:55:9B:62:DB:C0:58:E9:1B:9E:F1
2062,zimbio.com,8B:D3:4D:93:54:6C:54:75:76:99:80:1D:13:91:EA:43:0E:34:A4:AF:2E:99:FB:B5:AD:74:F3:4F:79:AC:11:0B
2065,arecio.work,C4:B4:45:96:C5:94:9A:9E:E3:46:8A:C0:F3:FF:8A:3F:E8:95:98:F6:C6:A6:60:19:FF:AD:2B:61:D5:61:C9:1C
2088,sbi.co.in,54:D3:DA:7A:83:33:35:ED:E4:1B:D0:BA:F2:5D:64:A8:14:BD:EF:EF:4C:43:1E:91:45:73:1D:99:F3:91:6F:88
2140,theweathernetwork.com,6A:40:94:F0:AA:44:5F:C5:4B:0B:D9:B4:4D:D2:57:FA:88:A7:57:E6:FB:6A:36:4A:66:9E:40:5E:2F:A7:AA:F5
2142,cheatsheet.com,F8:AF:7C:B4:E8:73:85:A1:1D:BB:B6:EF:EE:DC:4A:D4:E8:C8:16:E7:63:4F:9F:C0:3E:3C:39:81:55:B1:21:E0
2153,mawdoo3.com,8B:D3:4D:93:54:6C:54:75:76:99:80:1D:13:91:EA:43:0E:34:A4:AF:2E:99:FB:B5:AD:74:F3:4F:79:AC:11:0B
2160,espeedcheck.com,C2:57:95:78:39:B7:14:7B:76:08:9B:EB:58:99:30:FB:E4:1D:3E:7B:D4:F6:C2:F0:35:F3:FE:82:7D:6B:27:FA
2164,estadao.com.br,E9:06:6A:C3:97:D2:4A:7D:DC:EA:6E:4C:3C:95:CE:12:4A:0A:35:4F:0B:DB:7A:4A:8D:AD:AD:3D:35:42:F8:1A
2194,columbia.edu,FD:9F:1A:58:AF:B2:67:EA:E1:14:FB:2D:57:D3:34:3A:C5:98:34:70:08:DF:39:48:C3:9F:4C:E8:4A:7E:9A:C1
2237,mundodeportivo.com,59:E6:41:E5:AC:A8:AE:67:DA:F5:13:29:2F:AA:BB:46:2B:AB:A6:CF:CE:7F:8A:F0:87:A5:A3:2C:92:79:48:D0
2268,lonelyplanet.com,07:73:FA:51:3F:54:3C:AF:FF:8F:E5:30:95:9F:8F:AD:68:B7:C9:C5:8D:5A:80:DB:92:0C:58:EA:74:D8:C9:E1
2273,societegenerale.fr,5F:91:3A:5F:92:56:2F:1E:F2:39:D0:2A:4E:AD:65:CC:C4:E3:6F:69:E9:28:14:FB:EC:67:BF:09:0F:67:B5:B2
2284,fnac.com,99:D8:C4:BA:5B:B7:1F:B8:44:A7:D6:DF:1A:F3:E4:5D:1E:93:43:F8:C2:2D:1B:C4:37:AD:98:94:1F:1C:86:9E
